transaction_id,merchant_id,customer_id,device_id,ip_id,pm_id,amount,currency,status,payment_method_type,created_at,is_abuse_ring,ring_id,is_fraudulent
cc7b66fe-a696-4d5d-bc47-ed9a7761784a,96d20b35-2b7d-4e89-bcbf-27c84aa35780,a52ff171-cc1f-4bb6-a089-923d6a19ae90,ffa8ca94-8a82-4370-a92d-df08f939f72c,39be2460-d329-44fa-aedc-d45c9c84c05e,2ccf24a8-c7b6-4afd-87b6-b25111a0577a,2974.33,INR,captured,upi,2026-06-13 11:31:00,False,-1,False
8208a198-7067-4105-a5ee-31c429217f76,a0ed6ea0-9ca3-476e-9643-a23fb566d537,e129e131-f460-459f-bff5-6481813e3006,3146412d-02cd-4541-bdcc-d0c4a07b1274,b83023ae-05d9-4c90-a2f9-5ad79f6f0b81,13d12120-63ea-4169-a33d-59381dd84744,4062.17,INR,captured,netbanking,2026-05-29 10:03:00,False,-1,False
6cabb4b9-326c-426b-be81-f699e41c1629,675140ee-0253-4429-873d-17ab90b6837f,fa45e774-6409-4ad2-8d27-7828626d07cc,bc5300af-576b-4087-b93d-29f64b3f5236,eb1acd63-dc2a-4a61-bbc4-eb9fe482d405,c4edd997-32f4-467a-932b-e323d22a1b33,1965.34,INR,captured,upi,2026-05-26 04:22:00,False,-1,False
02a89932-b78d-4d7d-a188-fab5b8cbb4ac,96d20b35-2b7d-4e89-bcbf-27c84aa35780,ba7f6d48-dad9-490b-8d1d-ba2699dae204,12a49d2f-9192-467e-9627-1207155357d2,83efed29-705c-4deb-833b-55b8b0f86c89,eea92a08-1021-4b5a-af7c-5bda2a3d5581,1871.05,INR,captured,card,2026-06-08 09:32:00,False,-1,False
7110cd24-f2f5-4ef9-8ecd-efffa7f615db,04795039-6bb2-4022-92c4-4eaceb902ec0,2ffbe934-d33a-46eb-8979-5d208013f658,301530ac-65aa-424a-bc13-308982a68c42,f898b7f8-4398-44f5-94d3-70983fbeddc0,bba58aea-88fe-4bf1-b8de-42392ca1e598,999.0,INR,captured,upi,2026-06-25 09:15:00,False,-1,False
43601aba-68c7-4782-ab0e-ba2a47a8ad3e,a0ed6ea0-9ca3-476e-9643-a23fb566d537,20d97daa-f363-4eae-80ea-448ca2f35f7e,5e74d3b6-8b4d-45ab-9ff7-d9dd049f08b7,414f4aaa-4440-41ab-8699-b08aa421fb8b,3c24b6ed-d599-47c1-8802-835716c7990f,249.73,INR,captured,upi,2026-05-18 10:49:00,False,-1,False
45d91c36-8306-4eb6-815b-751d384c9398,5a65738f-e1b8-43f7-8dea-0fcf02106715,63677588-4942-4ab2-b896-d43347a51925,dc5ab3f2-1ee4-45f6-a6a6-b916003d33a3,1646265a-2bc8-49f3-a586-4a243e610d34,0a31c7c5-5395-4f90-8fca-2de891969e01,88.22,INR,captured,upi,2026-06-08 07:17:00,False,-1,False
c6e153bf-04f4-4d0e-b718-13d30e20efc4,5a65738f-e1b8-43f7-8dea-0fcf02106715,19ed8cad-bfa7-4ba1-a5b8-7f6ff110bb3a,99522426-cc18-4063-9b85-f63f26158272,bedadec2-a902-48de-bc16-46a2c78a8919,d1f1b89c-0eae-4e56-b6bb-6e8ec3f7867b,279.1,INR,captured,upi,2026-06-18 14:41:00,False,-1,False
b850903e-4f4a-4453-b250-b3acc845d49d,28870073-fe65-44b5-b52a-6493dc0016fd,e21d35c7-6dfa-4252-b04f-be613bf8e4d4,77689efa-cfe5-4ded-81a9-4d80c9d0f6e5,2cd5f5e0-0d0d-4a11-9d22-3dace3a0a660,fe00c004-e275-4e33-8d93-09a41c168bd8,79.17,INR,captured,upi,2026-06-19 10:18:00,False,-1,False
2bfb9aa0-4726-46e5-a481-5564286ba31a,5a65738f-e1b8-43f7-8dea-0fcf02106715,a7f7fc9e-8221-45e9-93d0-c42fc30f392e,51da4db2-21db-4892-94d8-3fc6bf0ae9fe,ae4186b8-dd49-42d0-9e19-7fd4b23bdddd,466c645a-5e9e-4dec-8bb9-aad866a938a2,35.04,INR,captured,netbanking,2026-06-17 08:27:00,False,-1,False
f0c70d6d-e5bc-42a9-beeb-3eb42d99cc76,96d20b35-2b7d-4e89-bcbf-27c84aa35780,70c871d4-bead-4a23-8a5a-00c3ccf9d4ab,3538d8e2-6fef-4a9a-a6ab-905684932c01,f8dbe70d-9eda-4659-809a-40589fae4fd4,11783e4e-3aa5-4643-942a-6894f53db361,4161.31,INR,captured,card,2026-06-19 04:54:00,False,-1,False
90457774-ebb0-461a-a02b-bc9497dc3078,4a34c787-bdd6-442f-978b-590a62b557f2,2e7a8f1f-2455-4c90-811f-d41cdd1c167f,585b299a-27ee-4049-82c5-ea7b787bdaf6,3f0c7eb6-4436-40af-90b7-3b3392a2adae,1fefc377-3a5c-4378-a77d-b93b1817fab1,3178.91,INR,captured,card,2026-05-27 16:27:00,False,-1,False
32d2d5b0-d75e-4acc-b765-ae9d46bbe37a,96d20b35-2b7d-4e89-bcbf-27c84aa35780,3473d738-527b-4c90-a94d-28260030a9fd,3c74c940-55e0-448a-8471-56c6c8778857,c78634f6-2555-419a-a316-7d6185c37779,75df85b3-a89b-40e9-b8e8-6b1610b9766e,368.97,INR,captured,upi,2026-05-17 16:17:00,False,-1,False
44b8f265-1ac2-4bc3-81bc-28e03c9f422b,4a34c787-bdd6-442f-978b-590a62b557f2,8c277c61-4427-481a-9dc8-8acd7b6e042c,5fc41a5e-a272-4913-ac1e-809a7c57618f,f770ade4-a4f6-48a4-b992-f3e6e594e1db,af141e91-52a1-4b9f-a8fa-ff22078ea3b0,1939.47,INR,captured,card,2026-05-08 09:50:00,False,-1,True
5d5e790d-d618-4ba1-bf46-c89758d06e95,a0ed6ea0-9ca3-476e-9643-a23fb566d537,8adb744c-4c78-4a34-8728-b28e7bd7a874,93c5e89f-3e69-4869-9416-4080d81850f8,54a57040-28d4-4bc6-958f-12bf14253aa3,74990d23-ad9d-4e67-9e2a-7fa01b64601c,131.29,INR,captured,card,2026-06-02 17:47:00,False,-1,False
1fad6177-a3ca-4b73-b213-b0047edefc0e,44959ef3-b42f-4e6b-afd5-7a0a81317b14,77076f60-937c-4bb3-83b0-324612787813,6a6ac67a-344a-4ed5-a14d-9072fb3303ad,133c5032-8cfb-41ef-8cde-e34635ccf6db,2e957ec3-0bd8-4255-a52c-15ba9a3261a0,1516.65,INR,captured,card,2026-05-03 12:40:00,False,-1,False
d53e284f-d578-49d2-8393-05e4fd249c70,5a65738f-e1b8-43f7-8dea-0fcf02106715,30b832a2-b9bb-46ec-ae80-c39f812aabbc,44c3ddac-214a-4e98-81a0-5270e2503518,a26299bf-8057-4755-96e1-7a4df9c37305,1592068a-3133-4b06-8aad-162cc03c3e65,2005.0,INR,captured,upi,2026-05-22 12:02:00,False,-1,False
b968555c-1a6d-4e10-8b27-b62fb10353b4,675140ee-0253-4429-873d-17ab90b6837f,1a5d66b2-9486-4fa9-b330-0b548299ef5d,24c581da-b6cd-4fa7-ac05-b9b546696ed0,f809f03e-8c4b-4fa8-a6bf-408d6104b951,f01893a1-df20-4efd-8e6b-66f89974a3d1,3287.13,INR,captured,upi,2026-06-27 14:01:00,False,-1,False
61181cbd-a441-467d-b8e0-473b17211a2b,96d20b35-2b7d-4e89-bcbf-27c84aa35780,e7b0f7b2-1095-4215-98dc-4b94e13e8041,ec69da04-29ed-4da1-899d-1dd514630430,089987b2-ced4-43ec-9643-bdc8822abe77,268e5b33-e919-48c9-abb4-e453426c3c27,490.0,INR,captured,card,2026-05-21 03:38:00,False,-1,False
7b1c0c53-f966-4ac0-bac1-0dee2ac6587a,5a65738f-e1b8-43f7-8dea-0fcf02106715,96665276-0a4a-4356-b433-8ef5a01528f2,3505950c-8ba2-4f17-80c5-255ba2a1678c,85da628e-5269-47ae-b7fe-856e72a1451a,d912ecd1-16db-4324-9103-298b24edfbc6,979.18,INR,captured,card,2026-06-11 11:55:00,False,-1,False
ff3e2c3a-813a-4b99-9470-63b4223b2e69,a0ed6ea0-9ca3-476e-9643-a23fb566d537,32c7aa17-91e9-4f12-a709-2ee4b540fe98,82dce99a-1d20-4a42-a066-4ac10c94417a,08a88463-cffc-43c8-9c4f-13e73e8952af,d6675863-df3c-44c4-ac24-db7bc7e7eaa2,1469.83,INR,captured,card,2026-06-20 16:46:00,False,-1,False
acb09513-176e-4fab-a646-2de387b6b4bc,44959ef3-b42f-4e6b-afd5-7a0a81317b14,0fb32ee1-1506-440b-a111-61a2c23b8d92,2f6deef9-fb68-4b39-9626-38b736011874,0a05cbc3-3ba3-4269-921c-fff8b7ebaa93,cbd238fc-0cbb-42db-8db6-3dd4e04c2f8a,1641.33,INR,captured,card,2026-05-12 02:09:00,False,-1,False
ee5eb969-b259-47cb-9c7d-6bb1a14d5886,a0ed6ea0-9ca3-476e-9643-a23fb566d537,652f3c87-99c5-4740-bac3-d1ec8c3c6057,ee7fe670-f5ef-4d6b-b3b9-94522cc47ffa,3fad75f0-941e-49cf-855e-133f63c0a583,bbff337a-5052-4db1-906c-d43af909f677,801.35,INR,captured,card,2026-06-21 12:49:00,False,-1,False
