source_type,source_id,target_type,target_id,relationship,weight
customer,0006addb-3448-4ac2-b7dc-7586330da030,device,a8e18218-90e6-4180-abc0-b477f9420647,uses_device,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,device,d86b7ed8-6c18-485f-a444-5870f992efef,uses_device,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,ip_address,6a02823e-e566-4556-baac-ddd6246cf96d,uses_ip,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,ip_address,78a25b72-a946-4198-8855-cd79cfa90449,uses_ip,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,ip_address,8b47bad8-740b-4178-98f5-dbdcb5e8e09e,uses_ip,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,ip_address,fa9f8580-5c54-423d-9965-0e153f6e9051,uses_ip,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,payment_method,9fcf9d16-fbee-420c-95c7-fb0f0356379e,uses_payment,1.0
customer,0006addb-3448-4ac2-b7dc-7586330da030,payment_method,c9a37f52-5432-4ed4-b679-560a07b9843c,uses_payment,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,device,021a547e-52e5-49d8-b8be-9abff935fc0c,uses_device,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,device,12e8f247-52bf-4b0a-9ec9-a52e0b1581ff,uses_device,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,device,5886f345-6844-4f5c-8d29-b371ce9653b4,uses_device,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,device,6a9657c6-c8de-4fca-9f3e-0d35185d3366,uses_device,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,device,a3089da5-8b5c-4f96-9611-ce3943c432a2,uses_device,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,ip_address,165a7f0a-5d6d-416e-a708-b36e571e8883,uses_ip,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,ip_address,9fef69c4-52d1-4617-ad53-9e462f2eacca,uses_ip,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,ip_address,c038961f-b25e-4237-9d6d-c5d5d8ed9e62,uses_ip,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,ip_address,c7e848cd-d7d5-4371-9c2b-b0adb5ee0384,uses_ip,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,payment_method,9589bb13-9d18-47ca-9131-f45203d2cb9a,uses_payment,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,payment_method,b54d2868-1d73-4d59-9798-397a3ff8e672,uses_payment,1.0
customer,003a3208-3228-4479-9da1-634a70157a77,payment_method,fb393252-4356-4d3d-852b-e587b9abf952,uses_payment,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,device,13e62d77-769f-48ce-b964-0da0c60d19bc,uses_device,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,device,2535d760-c973-4322-8209-7c0aa43b0ba2,uses_device,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,device,5fb67576-47f9-4492-84b6-2febcdee8b41,uses_device,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,device,b501bd19-7eb1-46ae-ac8b-1229229a9297,uses_device,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,device,d172bbff-c931-48a6-8307-9d85d4f007ce,uses_device,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,device,d48e12fb-ea4a-4d97-9605-51781febd9dc,uses_device,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,ip_address,6f778476-db70-452b-95df-9a0ccd4defc1,uses_ip,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,ip_address,9f6c2e48-1cd3-4f05-b2fd-4e8fe8e9f3a4,uses_ip,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,ip_address,f53f2ac9-fb6b-4c85-8b21-217f9c41cd30,uses_ip,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,payment_method,89341563-f1a7-4674-8199-4b7f307b8fad,uses_payment,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,payment_method,d98ffe1c-df8b-4e58-9028-b42051fb2bbf,uses_payment,1.0
customer,0054c2c0-4de2-42be-a29e-d07146768345,payment_method,ed11082f-b268-432e-9922-c3082e57b1e0,uses_payment,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,device,227d85b8-482b-4ab6-b273-88ad13b769bb,uses_device,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,device,4e8bc47c-c697-4af1-9531-e8b86be74f4d,uses_device,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,device,520f92ae-aef2-42d2-98ba-112483d78b12,uses_device,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,ip_address,08f8dbc1-e13f-4976-9972-7382fcca8f16,uses_ip,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,ip_address,841f322d-a63e-46cf-879e-ace61ad21e69,uses_ip,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,ip_address,9867a2bb-8ea9-41a5-b645-b6c32f211326,uses_ip,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,ip_address,a5a1eb07-7e68-4879-96a7-0ca83d49981d,uses_ip,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,payment_method,0700af99-3a59-4cbc-b184-355f9abeb9c4,uses_payment,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,payment_method,3ba448b5-0748-4eb2-890e-54dc7a056400,uses_payment,1.0
customer,0055af12-ed3b-4ca7-b659-e695434a4d38,payment_method,67cfb65a-0463-494d-bfaf-f33f845765d4,uses_payment,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,device,1a1649cd-443d-4f3c-a56d-6f56cb3b261f,uses_device,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,device,9bb2d808-b3e2-4504-9693-1890a414d735,uses_device,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,device,b5adb863-e9aa-4569-8dff-22baa84c7771,uses_device,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,ip_address,4a073762-f1a4-4fc1-887d-b80ea5ecbc4c,uses_ip,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,ip_address,b4199a4c-f0f1-4719-8a0c-46c05a852bc8,uses_ip,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,ip_address,ce1490a6-94aa-498f-a4ba-06c8b27b06b3,uses_ip,1.0
customer,0069a8bd-1aa8-46e8-b3e4-da35249c51e7,payment_method,6c56c04f-41b3-4fd4-a201-5e2e7badff2f,uses_payment,1.0
