device_id,fingerprint_hash,device_type,os,browser
eac21e0f-87c6-47d9-86c3-45805f6066ee,b7404863b07727fc,desktop,iOS,App
085495b9-d8bd-48e6-b2c3-b9062cf183e2,e15c0355daffb3a6,desktop,macOS,Safari
aed9c38a-6e75-4f50-a1f2-0e4252460430,96b1d6862715a3d1,mobile,iOS,Safari
f477e17a-fa7e-4e52-ad50-a543851f707b,076654177b955c78,tablet,Linux,Firefox
923bad95-454e-4944-944b-d434bc7214bb,066b7f08c460e65d,tablet,macOS,App
d7f78b29-076f-4953-a5ca-032eab5bdf2a,5dd8219fc92135e5,desktop,Linux,Edge
5886f345-6844-4f5c-8d29-b371ce9653b4,f93b01c88bf7b89a,desktop,Android,Edge
6c45d631-9ae6-4664-921b-0c53c14ccdd9,b35302d9cc6e0f75,tablet,Linux,Safari
b01522b3-492f-415b-957e-f204c661d901,7ec7a2c538aea1da,desktop,macOS,App
9e4e81ad-565b-4b44-a267-8d729909960a,79cbb2a6474c319c,desktop,Linux,App
df2d8735-d44d-4817-b16d-a08803cf1ca6,1adc63a2414678d7,desktop,iOS,Firefox
9031dc91-447c-4701-b37c-b0d677f461bb,2acae77e803c1fa4,mobile,Linux,Firefox
a88a007c-8045-4a37-b7fe-429115f56e68,41728570ba37fbc4,mobile,Windows,Chrome
6c74adb6-c9fa-47dc-a3b4-c1132fe329bd,436f7e2265f48599,desktop,Android,Edge
96b3e69b-a66b-45c6-aa54-48e74d1e005d,841d927e7778a602,tablet,Windows,App
21431d8c-e5c1-4d91-88d6-63502970804f,51a010f363d12dcc,mobile,Android,Firefox
d3df3349-f131-40f7-b392-6273ddd5f858,464715ac22c50824,tablet,Linux,Firefox
dcb7b76d-311b-4973-bc98-950a5da61d41,ccefb281efe0f70f,tablet,iOS,Firefox
b2240a98-236d-4433-b9be-b7365f3a6efe,7abe4e70ebcd5f70,mobile,iOS,Chrome
2e29e565-6e27-4cb0-939b-721e81e84ad1,a605d0a196ff8738,desktop,Windows,Edge
12f3b67c-00e0-456c-8650-4fa982090aa0,75250b436542b8eb,mobile,Windows,Edge
1f47e41e-594e-4281-a94a-ebb83f915aa5,97aec341f51cc5c2,tablet,Android,App
da5e1b23-f3ca-40f7-93f7-381134f29c8d,653433cd9ba11a42,tablet,Linux,App
d821f7c5-d94d-48e3-badf-07706c5dca88,8093e3efd12270fc,desktop,Linux,Firefox
48349090-8f22-4d04-b82b-3d9793946773,f2ecdfbe7ef5a391,mobile,macOS,App
9733a512-5eea-46d9-bb2d-b56297a4d45b,f5e5313b7953546e,tablet,macOS,Firefox
43f4f9a2-312f-4287-8358-bbd54803872b,a585b34ffbd2ff9b,desktop,Windows,Edge
